location_name,latitude,longitude,trait,site_name,data_split_type
"Angers, France",47.47,-0.55,Carotenoid_Area,angers-leaf-optical-properties-database--2003-,train
"Ispra, Italy",45.81,8.61,Carotenoid_Area,leaf-optical-properties-experiment-database--lopex93-,train
"Abby Road, WA",45.76,-122.33,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Blandy Experimental Farm, VA",39.03,-78.04,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Chase Lake National Wildlife Refuge, ND",47.13,-99.24,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Dead Lake, AL",32.7,-88.03,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Disney Wilderness Preserve, FL",28.13,-81.44,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Harvard Forest & Quabbin Watershed, MA",42.54,-72.17,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Konza Prairie Biological Station, KS",39.1,-96.56,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Lenoir Landing, AL",31.85,-88.16,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"McDiffett Creek, KS",39.09,-96.24,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"McRae Creek, OR",44.26,-122.17,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Mountain Lake Biological Station, VA",37.38,-80.52,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Northern Great Plains Research Laboratory, ND",46.77,-100.92,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Oak Ridge, TN",35.96,-84.28,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Ordway-Swisher Biological Station, FL",29.69,-81.99,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"San Joaquin Experimental Range, CA",37.11,-119.73,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Smithsonian Conservation Biology Institute, VA",38.89,-78.14,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Soaproot Saddle, CA",37.03,-119.26,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Steigerwaldt-Chequamegon, WI",45.51,-89.59,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Talladega National Forest, AL",33.31,-87.12,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"The Jones Center At Ichauway, GA",31.19,-84.47,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"University of Kansas Field Station, KS",39.04,-95.19,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"University of Notre Dame Environmental Research Center, MI",46.23,-89.54,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Wind River Experimental Forest, WA",45.82,-121.95,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"Yellowstone National Park, WY",44.95,-110.54,Carotenoid_Area,fresh-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains,train
"UW-Madison, WI",43.07,-89.4,Nitrogen,"""2008-university-of-wisconsin-biotron-fresh-leaf-spectra-and-gas-exchange-leaf-traits""",train
"Talladega National Forest, AL",33.31,-87.12,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Dead Lake, AL",32.7,-88.03,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Oak Ridge, TN",35.96,-84.28,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Lenoir Landing, AL",31.85,-88.16,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Konza Prairie Biological Station, KS",39.1,-96.56,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"University of Kansas Field Station, KS",39.04,-95.19,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Northern Great Plains Research Laboratory, ND",46.77,-100.92,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Smithsonian Conservation Biology Institute, VA",38.89,-78.14,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Mountain Lake Biological Station, VA",37.38,-80.52,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Smithsonian Environmental Research Center, MD",38.89,-76.56,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Blandy Experimental Farm, VA",39.03,-78.04,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
Chequamegon-Nicolet National Forest,45.92,-89.23,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
Jones Ecological Research Center,31.19,-84.47,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Disney Wilderness Preserve, FL",28.13,-81.44,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
Woodworth,47.13,-99.24,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
UNDERC,46.23,-89.537254,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
Madison,43.07,-89.4,Nitrogen,"""dried-leaf-spectra-to-estimate-foliar-functional-traits-over-neon-domains-in-eastern-united-states""",train
"Santa Barbara, CA",34.42,-119.7,Nitrogen,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Sedgwick Reserve, CA",34.69,-120.04,Nitrogen,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Sierra Nevada, CA",37.04,-119.3,Nitrogen,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Ispra, Italy",45.81,8.61,Nitrogen,"""leaf-optical-properties-experiment-database--lopex93-""",train
"Seward Peninsula, Alaska",65.17,-164.83,Nitrogen,"""ngee-arctic-2016-leaf-spectral-reflectance-kougarok-road-watershed-seward-peninsula-alaska""",train
Abby Road NEON,45.76,-122.33,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Utqiaġvik NEON,71.28,-156.62,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Delta Junction NEON,63.88,-145.75,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Dead Lake NEON,32.54,-87.8,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Harvard Forest & Quabbin Watershed NEON,42.54,-72.17,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Healy NEON,63.88,-149.21,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Konza Prairie Biological Station NEON,39.1,-96.56,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Lenoir Landing NEON,31.85,-88.16,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
McRae Creek NEON,44.26,-122.17,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Ordway-Swisher Biological Station NEON,29.69,-81.99,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
San Joaquin Experimental Range NEON,37.11,-119.73,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Soaproot Saddle NEON,37.03,-119.26,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Talladega National Forest NEON,32.95,-87.39,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Lower Teakettle NEON,37.01,-119.01,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
University of Kansas Field Station NEON,39.04,-95.19,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Wind River Experimental Forest NEON,45.82,-121.95,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
Yellowstone National Park NEON,44.95,-110.54,Nitrogen,"""dry-leaf-spectra-to-estimate-foliar-functional-traits-across-neon-domains""",train
"UW-Madison, WI",43.07,-89.4,LMA,"""2008-university-of-wisconsin-biotron-fresh-leaf-spectra-and-gas-exchange-leaf-traits""",train
"Angers, France",47.47,-0.55,LMA,angers-leaf-optical-properties-database--2003-,train
"Santa Barbara, CA",34.42,-119.7,LMA,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Sedgwick Reserve, CA",34.69,-120.04,LMA,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Sierra Nevada, CA",37.04,-119.3,LMA,"""fresh-leaf-spectra-to-estimate-leaf-traits-for-california-ecosystems""",train
"Ispra, Italy",45.81,8.61,LMA,"""leaf-optical-properties-experiment-database--lopex93-""",train
"Brookhaven National Lab, Uptown, NY",40.87,-72.87,LMA,"""leaf-spectra--structural-and-biochemical-leaf-traits-of-eight-crop-species""",train
"Belgian North Sea Coast, Belgium",51.21,3.22,LMA,"""leaf-spectra-of-36-species-growing-in-rosa-rugosa-invaded-coastal-grassland-communities-in-belgium""",train
"Seward Peninsula, Alaska",65.17,-164.83,LMA,"""ngee-arctic-2016-leaf-spectral-reflectance-kougarok-road-watershed-seward-peninsula-alaska""",train
Japan,43.2,141.3,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.1,2.7,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.1,2.6,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Japan,43.2,141.4,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Japan,43.3,141.4,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.3,3.1,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.2,2.9,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Japan,43.2,141.2,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.3,3,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.2,2.8,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
Belgium,51.4,3.3,LMA,"""leaf-spectra-of-4-plant-species-from-belgian-dune-grasslands---rosa-rugosa-from-the-northern-japan""",train
"Baraboo Hills, Wisconsin",43.4,-89.9,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Bayfield / Pine Barrens, Wisconsin",46.8,-91,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Blackhawk Island, Wisconsin",43.7,-89.8,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Ely / Superior NF, Minnesota",47.8,-91.7,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Finland SF / Superior NF, Minnesota",47.7,-91.4,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Flambeau River SF / Cheq. NF, Wisconsin",45.6,-90.8,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Green Ridge, Maryland",39.7,-78.5,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"IDS, Maryland",39.7,-78.4,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Kettle Moraine State Forest, Wisconsin",43.7,-88.1,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Madison / Dane County, Wisconsin",43.1,-89.4,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Ottawa NF / Sylvania Wilderness, Michigan",46.2,-89.2,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
"Porcupine Mountains, Michigan",46.7,-89.8,LMA,"""nasa-fft-project-leaf-reflectance-morphology-and-biochemistry-for-northern-temperate-forests""",train
